ID_Flux	Langue_code	Pays_code	jrnl_code	Type_flux	Journal_Name	Type_periodique	ville_code	ville_Name	UTC.GMT	Olson_zone	URL	Name_Flux	2014-01-01	2015-06-30	NbItems_raw	MeanDay_Item_Raw	MedianDay_Item_raw	ModeDay_Item_raw	SDDay_Item_raw
16465	en	NGA	thiday	int	This Day	quotidien	lag	NA	NA	NA	http://www.thisdaylive.com	en_NGA_thiday_int	Actif	Actif	26516	50	50	86	10
16473	en	NZL	nzhera	int	New Zealand Herald	quotidien	akl	NA	NA	NA	http://www.nzherald.co.nz/	en_NZL_nzhera_int	Actif	Actif	92534	174	177	289	58
16462	en	PAK	newint	int	The News International	quotidien	khi	NA	NA	NA	http://www.thenews.com.pk/	en_PAK_newint_int	Actif	Actif	9152	17	18	41	5
1361848	en	SGP	twoday	int	Today	quotidien	sgp	NA	NA	NA	http://www.todayonline.com	en_SGP_twoday_int	Inactif	Actif	41472	99	103	195	40
1501	en	USA	nytime	int	The New York Times	quotidien	nyk	NA	NA	NA	http://www.nytimes.com	en_USA_nytime_int	Actif	Actif	31791	61	64	109	20
15986	en	USA	wapost	int	Washington Post	quotidien	wsg	NA	NA	NA	http://www.washingtonpost.com/	en_USA_wapost_int	Actif	Actif	14032	26	26	64	10
15973	en	ZWE	chroni	int	Chronicle	quotidien	blw	NA	NA	NA	http://www.chronicle.co.zw	en_ZWE_chroni_int	Inactif	Actif	2682	7	7	19	3
764015	es	ARG	nacion	int	La Nacion	quotidien	bna	NA	NA	NA	http://www.lanacion.com.ar/	es_ARG_nacion_int	Inactif	Actif	8509	19	18	53	6
1037	es	BOL	larazo	int	La Razon	quotidien	paz	NA	NA	NA	http://www.la-razon.com/	es_BOL_larazo_int	Actif	Actif	6454	13	13	41	6
756856	es	BOL	patria	int	La patria	quotidien	oru	NA	NA	NA	http://lapatriaenlinea.com	es_BOL_patria_int	Inactif	Actif	4920	11	10	31	5
875682	es	CHL	mercur	int	El mercurio	quotidien	san	NA	NA	NA	http://www.emol.com/	es_CHL_mercur_int	Inactif	Inactif	12338	31	31	55	7
876159	es	CHL	tercer	int	La Tercera	quotidien	san	NA	NA	NA	http://www.latercera.com/	es_CHL_tercer_int	Inactif	Actif	12155	28	28	55	8
767325	es	ESP	catalu	int	El periodico de Catalunya	quotidien	bar	NA	NA	NA	http://www.elperiodico.com/es/	es_ESP_catalu_int	Inactif	Actif	8359	19	18	57	9
766466	es	ESP	elpais	int	El Pais	quotidien	mad	NA	NA	NA	http://elpais.com/	es_ESP_elpais_int	Inactif	Actif	16725	37	32	136	21
763910	es	MEX	jormex	int	La Jordana (Mex)	quotidien	mex	NA	NA	NA	http://www.jornada.unam.mx/	es_MEX_jormex_int	Inactif	Actif	3811	9	8	22	2
763300	es	MEX	univer	int	El Universal	quotidien	mex	NA	NA	NA	http://www.eluniversal.com.mx/	es_MEX_univer_int	Inactif	Actif	19991	44	44	84	13
874966	es	VEN	univer	int	El Universal (VEN)	quotidien	car	NA	NA	NA	http://www.eluniversal.com/	es_VEN_univer_int	Inactif	Actif	24239	55	54	103	14
1056291	fr	BEL	derheu	int	Dernière Heure	quotidien	brx	NA	NA	NA	http://www.dhnet.be/	fr_BEL_derheu_int	Inactif	Actif	4685	11	9	58	7
165	fr	BEL	lesoir	int	Le soir	quotidien	brx	NA	NA	NA	http://www.lesoir.be	fr_BEL_lesoir_int	Actif	Actif	16388	31	29	103	15
1358	fr	CAN	jmontr	int	Le Journal de Montreal	quotidien	mtl	NA	NA	NA	http://www.journaldemontreal.com/	fr_CAN_jmontr_int	Actif	Actif	6159	16	17	53	12
58	fr	DZA	elwata	int	El Watan	quotidien	alg	NA	NA	NA	http://www.elwatan.com/	fr_DZA_elwata_int	Actif	Actif	2329	5	4	21	3
60	fr	DZA	xpress	int	LExpression	quotidien	alg	NA	NA	NA	http://www.lexpressiondz.com	fr_DZA_xpress_int	Actif	Actif	3575	8	8	98	5
10038	fr	FRA	lepari	int	Le Parisien	quotidien	sto	NA	NA	NA	http://www.leparisien.fr/	fr_FRA_lepari_int	Actif	Actif	7445	14	14	48	7
281409	fr	FRA	lmonde	int	Le Monde	quotidien	par	NA	NA	NA	http://lemonde.fr	fr_FRA_lmonde_int	Actif	Actif	21530	42	42	99	17
