"2014-00"	"2014-01"	"2014-02"	"2014-03"	"2014-04"	"2014-05"	"2014-06"	"2014-08"	"2014-09"	"2014-10"	"2014-11"	"2014-12"	"2014-13"	"2014-14"	"2014-15"	"2014-16"	"2014-17"	"2014-18"	"2014-19"	"2014-20"	"2014-21"	"2014-22"	"2014-23"	"2014-24"	"2014-25"	"2014-26"	"2014-27"	"2014-28"	"2014-29"	"2014-30"	"2014-31"	"2014-32"	"2014-33"	"2014-34"	"2014-35"	"2014-36"	"2014-37"	"2014-38"	"2014-39"	"2014-40"	"2014-41"	"2014-42"	"2014-43"	"2014-44"	"2014-45"	"2014-46"	"2014-47"	"2014-48"	"2014-49"	"2014-50"	"2014-51"	"2014-52"
"BHR"	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	0	1
"BHS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
"BIH"	0	0	1	0	4	2	2	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	2	0	0	0	0
"BLR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"BOL"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"BRA"	0	2	2	1	3	2	2	1	1	1	1	1	2	3	2	2	1	1	1	3	3	5	16	2	5	7	15	4	1	2	0	1	1	5	2	0	1	1	2	2	3	7	4	1	2	0	1	4	3	1	1	1
"BRB"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BRN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BTN"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAF"	3	3	4	2	7	3	4	0	1	0	1	2	5	2	1	0	4	0	2	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0
"CAN"	1	2	0	4	1	5	2	1	2	2	1	2	2	5	1	2	4	1	2	1	2	7	1	0	1	1	0	2	1	0	2	0	2	0	1	3	2	1	2	1	0	23	8	0	1	0	4	4	0	2	4	1
"CHE"	0	4	3	9	2	3	5	1	1	0	4	2	0	0	7	2	0	0	2	1	0	2	1	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	1	0	1	4	0	1	2	1	6	1	1	0	0	0
"CHL"	0	2	0	0	1	0	0	0	0	0	0	0	3	6	1	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0
"CHN"	17	23	25	31	22	16	24	15	14	32	41	33	29	21	24	30	28	39	32	52	34	33	28	9	22	32	30	22	23	35	29	20	27	23	25	18	24	36	37	32	27	31	26	24	54	27	22	22	18	24	21	7
"CIV"	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"CMR"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"COD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"COG"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1	1	0	1	1	0	2	0	1	2	2	0	1	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0
"COL"	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	3	1	1	2	1	2	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	4	1	2	1	2	0	0
"CRI"	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CUB"	0	1	1	1	2	1	2	0	1	2	1	2	1	4	0	1	1	1	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	2	0	1	1	0	0	2	0	2	1	41	10	2
"CYP"	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"CZE"	4	2	2	0	1	0	2	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"DEU"	4	11	5	5	4	8	6	6	2	12	2	3	3	5	2	2	7	3	5	1	1	5	8	0	6	12	20	8	2	2	5	1	11	5	6	4	5	5	4	6	8	6	1	9	5	8	8	8	11	5	2	6
"DJI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNK"	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0
"DOM"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
"DZA"	1	0	0	1	0	0	2	0	0	1	0	1	0	0	2	1	0	1	0	0	0	0	2	0	0	2	0	0	1	1	0	0	0	0	0	0	0	2	0	0	2	0	1	1	1	0	0	0	0	1	2	0
"ECU"	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
"EGY"	4	6	9	15	11	4	3	4	5	4	3	9	9	2	0	2	8	4	7	8	9	11	8	8	12	5	5	15	5	1	10	9	3	6	1	3	4	1	1	1	5	5	6	4	9	7	9	5	2	5	5	0
"ERI"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESP"	0	5	1	2	0	2	2	1	0	1	2	1	3	2	1	1	1	1	3	2	5	6	4	1	3	0	2	0	2	3	1	5	0	0	7	2	1	5	3	13	8	4	1	7	1	2	2	0	1	0	3	0
"EST"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
"ETH"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
"FIN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FJI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"FRA"	8	16	12	5	8	7	4	1	5	7	6	7	8	8	2	2	4	4	9	4	7	10	3	2	8	15	7	2	4	7	2	3	9	5	3	4	8	13	4	2	9	9	9	7	6	9	13	12	9	5	10	2
"GBR"	3	10	7	5	5	8	8	5	6	6	7	6	4	3	4	7	8	6	5	7	6	6	14	4	13	6	3	9	8	5	7	6	10	9	14	12	33	16	12	7	5	5	7	12	7	11	11	15	9	7	4	3
"GEO"	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0
"GHA"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GIN"	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	2	2	1	2	1	2	0	0	2	3	0	1	1	1	1	2
"GMB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"GNB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GNQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"GRC"	0	3	3	1	3	2	0	0	0	0	2	1	2	3	1	1	0	1	0	1	1	0	3	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	2	1	2	0	0	0	0	0	5	3	3	2	3	8
