"2014-00"	"2014-01"	"2014-02"	"2014-03"	"2014-04"	"2014-05"	"2014-06"	"2014-08"	"2014-09"	"2014-10"	"2014-11"	"2014-12"	"2014-13"	"2014-14"	"2014-15"	"2014-16"	"2014-17"	"2014-18"	"2014-19"	"2014-20"	"2014-21"	"2014-22"	"2014-23"	"2014-24"	"2014-25"	"2014-26"	"2014-27"	"2014-28"	"2014-29"	"2014-30"	"2014-31"	"2014-32"	"2014-33"	"2014-34"	"2014-35"	"2014-36"	"2014-37"	"2014-38"	"2014-39"	"2014-40"	"2014-41"	"2014-42"	"2014-43"	"2014-44"	"2014-45"	"2014-46"	"2014-47"	"2014-48"	"2014-49"	"2014-50"	"2014-51"	"2014-52"
"MMR"	1	0	1	1	0	0	0	1	0	2	0	0	1	0	1	1	1	0	0	1	1	1	1	1	0	3	2	1	0	1	1	0	0	1	0	0	0	1	2	1	1	1	1	2	8	3	0	3	1	0	1	0
"MNG"	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MOZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"MRT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
"MWI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"MYS"	0	0	0	0	1	0	0	0	0	41	26	14	11	13	6	10	4	3	3	3	4	0	1	0	6	1	0	30	25	9	2	0	1	2	0	1	0	0	0	7	1	1	0	2	4	2	2	0	2	2	1	5
"NER"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"NGA"	1	1	4	0	1	2	1	2	2	4	2	0	2	1	9	1	4	13	11	11	5	3	0	0	4	4	2	1	4	2	2	3	1	2	2	2	4	0	3	1	1	2	1	1	4	0	9	4	1	1	4	2
"NIC"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NLD"	0	0	0	0	1	1	0	0	0	0	2	2	1	3	2	0	1	0	0	2	0	2	1	0	0	1	4	5	8	3	0	2	1	1	0	0	2	0	0	3	0	0	1	0	6	1	1	3	1	2	0	0
"NOR"	0	0	0	1	0	2	1	0	0	0	0	1	0	0	3	0	0	3	1	0	3	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	2	1	0	1	0	0	0	1	0	2	0	0	1	0	0	1
"NPL"	0	0	0	1	0	0	1	0	1	1	2	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	3	4	2	1	0	0	0	0	0	0	0	6	1	0	1	0	0	2	0	0	0	0	0
"NZL"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0
"PAK"	3	6	2	3	5	3	5	3	8	2	4	3	7	9	6	7	3	8	5	12	10	10	12	5	5	5	2	7	1	2	4	8	5	8	6	3	4	5	3	12	4	9	5	7	7	5	4	5	5	15	4	2
"PAN"	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PER"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	2	4	2	0	1
"PHL"	0	0	1	1	2	3	0	0	0	0	1	1	2	0	1	2	0	2	1	2	1	2	2	1	3	0	0	2	0	1	1	1	1	2	0	0	1	3	1	0	3	1	0	0	0	0	0	7	3	1	0	0
"PNG"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"POL"	0	1	0	0	2	0	0	0	0	2	2	3	3	0	1	2	0	0	0	2	1	7	1	2	2	1	0	0	1	1	0	0	1	3	0	2	2	0	1	1	0	3	0	0	0	1	0	1	1	1	1	0
"PRK"	2	7	2	3	3	5	2	3	3	3	3	6	4	2	1	10	6	1	2	2	4	3	2	2	4	5	1	1	0	3	2	3	3	1	2	4	3	2	4	8	2	12	4	5	5	6	3	3	3	17	7	1
"PRT"	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
"PRY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"PSE"	13	7	8	5	11	4	4	2	5	9	11	4	15	3	5	8	7	4	5	8	5	13	11	4	9	23	22	53	57	44	37	15	13	18	10	9	8	9	5	7	6	4	11	10	13	9	8	5	10	10	7	5
"QAT"	0	0	2	1	1	1	0	2	1	0	0	2	0	1	1	2	1	1	2	0	0	2	2	0	0	0	0	2	1	2	1	0	1	2	0	2	0	0	1	0	1	1	1	1	0	3	2	5	0	1	1	0
"ROU"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	3	3	0	0	0	0	0	0
"RUS"	6	6	9	13	8	34	21	45	45	45	48	42	14	23	45	31	30	24	17	29	21	16	19	8	14	9	16	35	31	21	19	22	27	31	32	8	9	16	10	10	14	10	22	15	18	9	7	29	14	30	12	14
"RWA"	2	1	2	0	0	2	2	0	0	1	0	1	0	6	2	0	0	1	1	0	0	2	2	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"SAU"	0	2	2	0	1	1	0	1	2	0	0	5	1	0	0	2	1	1	3	0	2	3	0	0	1	1	0	0	1	2	0	0	1	0	2	4	0	0	2	1	7	1	0	2	0	1	1	0	1	0	1	0
"SDN"	10	8	6	5	0	1	2	1	1	2	0	0	2	1	1	2	6	5	2	1	1	4	1	0	4	1	1	2	2	0	1	1	0	1	0	0	0	1	0	1	1	1	1	2	3	2	2	0	3	1	2	0
"SEN"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
"SGP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0
"SLB"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLE"	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	4	3	4	1	2	1	0	2	6	0	7	3	4	1	1	1	1	2	1	0	2	0	2
"SLV"	0	0	0	0	0	2	1	0	0	4	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"SOM"	1	2	1	0	1	0	0	1	0	0	1	0	2	2	1	1	2	0	1	1	0	3	0	1	1	3	2	1	2	1	0	1	0	1	5	1	0	2	1	2	2	1	1	2	0	2	0	6	3	3	3	2
"SRB"	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	1	0	2	1	0	0	1	0	0	0	0
"SSD"	10	8	6	4	0	0	1	1	0	1	0	0	2	1	1	2	6	5	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	2	0	1	0	1	1	1	0
"STP"	0	3	2	0	1	1	0	1	2	1	0	6	2	0	0	2	1	1	3	0	3	3	0	0	4	4	0	0	0	0	0	1	5	0	2	6	0	1	3	2	6	2	0	2	0	2	3	0	3	0	2	0
"SVK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SVN"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SWE"	0	1	0	0	0	2	0	2	0	2	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	3	1	0	1	1	0	1	0	0	1	4	0	1	3	2	3	1	0	2	1	0	2	0	3	4	1
"SYC"	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"SYR"	17	21	22	34	27	16	11	5	6	9	20	8	9	10	11	14	12	12	11	13	18	12	9	12	20	6	10	8	9	9	13	3	21	42	22	14	27	31	21	21	6	8	12	6	5	8	7	15	6	5	11	1
"TCD"	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"THA"	2	5	9	7	6	3	0	4	0	4	1	2	1	1	1	0	1	5	2	10	6	2	2	1	1	1	2	0	1	1	0	0	1	2	0	1	2	0	2	4	1	0	1	1	1	2	2	2	3	1	0	0
"TJK"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TKM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TTO"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"TUN"	0	3	2	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	1	0	3	0	0	1	0	0	0	0	0	0	1	1	0	0	5	4	1	0	3	3	0	0	3	3	1
"TUR"	1	6	3	4	4	6	2	3	0	4	9	7	5	1	4	3	3	1	12	9	2	0	1	1	1	4	2	1	6	3	2	2	4	6	0	1	5	10	7	14	9	6	10	3	4	1	8	7	3	3	6	1
"TWN"	1	0	0	1	0	0	4	0	0	1	4	5	0	4	1	1	3	0	4	2	0	2	0	0	2	1	1	0	4	2	1	0	1	0	1	0	1	1	0	1	1	1	4	0	1	0	2	1	0	2	2	1
"TZA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"UGA"	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
"UKR"	0	1	2	17	16	12	2	49	50	56	53	35	17	18	41	33	29	29	21	19	17	16	16	8	10	11	14	33	37	19	13	22	27	29	29	9	10	11	8	12	6	7	10	9	14	6	5	6	6	13	5	3
"URY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0
"UZB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAT"	0	1	6	3	0	2	0	1	1	2	1	3	0	3	0	3	1	2	1	6	4	3	2	1	1	1	4	1	1	0	2	8	6	1	2	0	1	2	2	2	6	0	0	1	0	2	8	2	3	4	4	0
"VEN"	0	1	0	1	0	0	1	5	0	3	2	3	0	2	1	0	1	2	0	3	1	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	2	2	2	1	2	0	0	0	0	0	2	1	1	1	0	1
"VIR"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNM"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	5	4	1	5	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
"XK"	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"YEM"	0	2	2	0	3	1	1	1	0	1	0	1	0	0	1	5	3	10	1	1	2	1	0	0	1	3	3	0	0	0	1	1	0	2	1	2	5	4	1	4	2	0	0	2	1	1	3	6	5	2	0	3
"ZAF"	1	0	2	0	2	4	1	3	3	1	3	3	1	16	9	2	1	15	6	2	2	0	2	0	1	5	3	2	2	1	4	1	0	3	1	8	0	0	1	2	9	3	4	5	3	0	0	2	5	0	0	0
"ZMB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	0	1	1	0
"ZWE"	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	0
