id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52	week53
COL	9	16	14	7	10	15	14	7	12	28	20	16	5	8	23	21	18	14	13	18	36	28	16	27	15	25	27	22	25	22	23	10	3	17	10	6	1	5	44	20	11	10	12	23	14	15	7	10	11	12	20	22	8
COM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRI	2	2	0	0	1	0	0	0	0	0	2	0	0	2	0	2	0	1	0	0	1	0	0	1	0	1	0	1	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	3	3	1	5	5	3	1
CUB	20	31	28	9	16	18	8	12	20	24	15	26	14	22	72	43	19	19	24	38	23	22	11	12	7	17	22	15	21	37	12	8	33	15	7	4	14	54	48	21	6	7	2	9	9	13	6	12	7	10	17	9	6
CXR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0
CZE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	3	0	4	0	0	1	1	0	0	1	0	0	0	1	0	0	0
DEU	11	26	20	3	13	37	20	26	6	10	17	18	44	25	12	19	18	15	21	15	19	13	23	20	15	17	25	25	28	11	15	7	12	13	29	32	23	23	18	25	13	20	16	21	14	22	10	18	10	16	18	16	14
DJI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNK	0	2	0	0	0	0	9	12	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	3	1	2	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	1	1	1	3	0	1	1	0	1
DOM	1	0	0	0	2	0	0	0	2	0	1	0	0	1	0	0	0	2	0	1	1	4	5	2	1	2	1	2	4	2	0	0	1	1	4	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0
DZA	1	3	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	3	6	0	0	0	0	1	0	1	2	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	2	0	2	1	1	0
ECU	1	6	1	2	1	1	1	1	1	0	0	4	1	5	3	2	2	4	1	4	3	3	2	5	8	6	20	17	7	3	2	2	15	6	4	4	4	1	0	2	1	4	0	0	1	0	4	7	4	4	2	2	1
EGY	2	1	3	0	3	6	5	11	0	5	5	3	4	9	3	3	6	2	4	3	1	4	3	4	5	4	14	8	5	4	5	1	3	5	3	3	2	17	3	3	2	4	0	15	34	7	11	7	4	3	1	0	2
ERI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	2	1	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESP	13	21	27	4	24	17	14	15	14	22	26	17	32	15	17	21	27	26	17	20	41	43	25	29	25	23	28	30	22	18	14	24	17	8	18	25	15	14	38	41	20	20	29	35	31	41	11	18	24	35	48	53	21
EST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETH	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	3	2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FIN	0	1	1	2	2	3	1	0	0	4	2	0	0	1	2	5	2	1	4	1	1	1	2	0	1	3	0	2	2	0	2	3	1	1	1	1	3	3	3	1	0	4	1	2	0	0	1	2	0	1	1	1	1
FJI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRA	8	135	66	10	15	28	23	18	9	4	10	23	55	24	12	15	23	19	19	17	19	17	28	11	13	31	25	20	13	7	29	18	6	11	15	23	12	9	13	21	9	8	9	7	15	101	116	76	51	59	39	12	18
FRO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
