name	freq
italy	17
rome	17
attacks	13
italian	11
minister	8
security	8
threat	8
paris	7
police	7
possible	7
including	6
militants	6
said	6
state	6
vatican	6
five	5
italys	5
last	5
militant	5
attack	4
authorities	4
interior	4
mafia	4
milan	4
muslims	4
name	4
sweden	4
thursday	4
weeks	4
across	3
around	3
friday	3
house	3
islamic	3
journalists	3
paintings	3
saturday	3
scandal	3
soldiers	3
suspected	3
two	3
violence	3
alfano	2
angelino	2
arrested	2
art	2
broadcaster	2
buildings	2
capital	2
checks	2
