name	freq
macri	33
mauricio	21
presidentelect	19
aires	17
buenos	17
argentinas	16
presidential	15
argentine	14
opposition	13
election	12
candidate	10
economy	10
argentina	9
conservative	9
finance	8
macris	8
minister	8
will	7
win	7
bank	6
monday	6
central	5
chief	5
reforms	5
sunday	5
venezuelas	5
wednesday	5
won	5
alfonso	4
businessfriendly	4
excentral	4
former	4
government	4
pratgay	4
promising	4
said	4
adviser	3
ailing	3
autonomy	3
banker	3
banks	3
caracas	3
challenger	3
defines	3
economic	3
liberalize	3
move	3
name	3
patience	3
quickly	3
