name	freq
portuguese	11
election	9
government	9
general	7
lisbon	7
costa	6
minister	6
prime	6
austerityminded	5
candidate	5
crisis	5
july	5
majority	5
may	5
polls	5
sunday	5
centerright	4
coelho	4
oct	4
passos	4
pedro	4
reelect	4
socialist	4
austerity	3
birth	3
date	3
debt	3
facts	3
fall	3
incumbent	3
key	3
national	3
portugal	3
position	3
short	3
win	3
another	2
antonio	2
coalition	2
economic	2
guided	2
heads	2
leader	2
lose	2
mayor	2
name	2
outright	2
party	2
predicting	2
secretary	2
