id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52
SDN	2	4	2	2	2	1	0	0	0	1	0	0	0	1	0	4	2	1	5	0	1	2	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0
SEN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SGP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SLE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	2	2	1	2	2	0	1	2	0	0	2	3	2	2	4	2	2	1	0	0	1	1
SOM	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	2	1	0	0	3	2	1	0	0	0	0	0	1	0	1	5	0	0	0	1	1	0	0	0	0	0	1	0	5	0	0	1	1
SRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSD	2	4	2	2	1	1	0	0	0	1	0	0	0	1	0	4	2	1	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
STP	1	1	0	0	0	2	0	0	0	2	0	0	3	1	0	0	2	2	0	2	0	0	0	0	1	2	2	0	0	1	0	2	1	1	0	1	0	0	2	1	0	2	2	1	3	0	1	0	0	0	0	0	1
SWE	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	2	1	2	0
SYC	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYR	1	7	10	12	12	12	10	6	5	2	3	5	7	6	2	3	4	5	6	8	1	8	4	1	3	9	5	2	2	7	3	3	4	4	23	5	10	13	15	13	18	5	5	8	4	4	5	9	5	5	4	7	0
TCD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THA	0	1	8	7	7	2	6	6	5	0	1	3	3	1	0	0	1	1	7	4	10	3	3	3	0	1	0	3	2	1	0	2	0	2	0	0	0	4	0	2	1	0	0	0	0	0	0	1	0	1	0	1	0
TJK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUN	0	1	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0
TUR	0	3	1	0	0	0	0	1	1	1	2	1	3	4	0	1	1	2	1	13	0	2	0	1	0	0	2	1	1	3	1	4	0	0	0	1	1	7	6	5	10	2	1	1	3	1	2	5	1	1	1	3	0
TWN	0	0	0	0	1	0	2	0	0	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	1	1	0
UGA	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
UKR	0	1	0	12	11	7	1	12	12	16	16	10	15	8	17	15	14	10	15	7	10	12	12	8	5	11	5	3	6	12	10	7	10	9	13	17	4	2	3	4	2	3	1	2	9	7	8	2	5	0	3	3	0
URY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
USA	13	23	17	19	21	26	25	27	20	25	19	15	29	26	30	21	35	24	26	17	20	22	29	21	13	26	18	12	15	19	30	18	17	26	31	28	24	35	31	23	22	23	27	21	21	41	31	20	35	30	32	15	14
UZB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAT	3	3	4	2	0	4	0	3	1	0	2	2	3	1	2	1	2	1	2	0	5	2	1	2	0	2	1	2	1	0	0	1	6	3	0	0	1	2	2	0	1	2	0	1	0	2	2	6	1	0	0	2	0
VEN	0	1	0	0	0	0	1	6	1	4	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0
VNM	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YEM	0	1	2	1	0	0	1	0	0	0	0	0	1	0	0	2	1	2	3	1	2	0	1	0	0	2	0	0	0	2	0	0	0	2	1	0	1	1	4	0	2	1	1	0	1	0	0	0	4	1	0	0	1
ZAF	0	0	2	0	0	1	2	0	2	6	3	4	3	0	4	7	2	1	7	2	1	1	0	0	0	0	2	2	4	0	0	4	0	0	1	3	2	0	0	0	0	4	3	2	1	0	0	1	2	5	0	0	0
ZMB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ZWE	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
