id	t2015-01	t2015-02	t2015-03	t2015-04	t2015-05	t2015-06	t2015-07	t2015-08	t2015-09	t2015-10	t2015-11	t2015-12	t2015-13	t2015-14	t2015-15	t2015-16	t2015-17	t2015-18	t2015-19	t2015-20	t2015-21	t2015-22	t2015-23	t2015-24	t2015-25	t2015-26	t2015-27	t2015-28	t2015-29	t2015-30	t2015-31	t2015-32	t2015-33	t2015-34	t2015-35	t2015-36	t2015-37	t2015-38	t2015-39	t2015-40	t2015-41	t2015-42	t2015-43	t2015-44	t2015-45	t2015-46	t2015-47	t2015-48	t2015-49	t2015-50	t2015-51	t2015-52	t2015-53
BIH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.26432178383876e-06	1	1	1	1	1	1
BLR	1	1	1	1	1	1	9.9905254107912e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.75907263939508e-13	0.0109278334063642	1	1	1	1	1	1	1	1	1	1	1
BLZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BOL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.32329052993181e-07	1	1	1	1	1	1	1	1	1
BRA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000808638860601233	1	1	1	1	0.000198278196024034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.815071056355659	0.651361945274722	1	0.627753304899771	0.0472779103157495	5.61932662756894e-05	0.159449875047378	1	0.133584841475785	0.000116883339332521	1	0.00061129769483666	0.412934941191246	1
BRB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BTN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BWA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.10557452027942e-06	1	1	1	1	1	1	1	1.42652544903577e-09	0.0209812953071621	1	0.00308496114504701	1	0.000796391977551258
CAN	1	1	1	1	1	1	0.00206803706705537	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00613433218934382	8.81086114861355e-06	0.479702942478069	0.148081119996251	0.00165112340193127	8.77009374900607e-10	0.00182640434514498	0.260654401161201	0.998771960163047	0.13343854210321	0.879130401031865	0.971314499671334	0.0430297462839669	0.889992598781338	0.525613019023585	0.865172529244251
CCK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CHE	1	1	1	1	1	1	1	1	1	2.80076812915645e-10	2.60686450162508e-07	1.39966539061871e-18	0.000169440071739203	1.62691446188663e-18	1	1	1	1	1	1	1	0.000177784212233931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.135107696613813	1	1	1	0.0321960913694571	1	1	1	2.17098308168708e-09	1.8935568794336e-06	1	1
CHL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0138754464283104	1	1	1	1	0.0511057721516256	1	1	1	0.0264139540416057	1	1	1
CHN	1	0.0982894012591827	0.987598998337894	1	0.964679086110479	0.9966112901284	0.728664335971172	0.990661087503468	0.486169929686484	0.843547899138719	1	0.996378911329441	0.879102955613253	0.906676670127929	0.696638307565209	0.084322319757066	0.449549650960999	1	0.438587268331169	0.655969266936244	0.306402068856598	1	1.13720777302098e-09	0.270735118550145	0.407676149914847	1	0.0889230110423204	0.00880239602540531	0.867196199090597	0.145144031982743	0.000480838390174708	1	0.00298879982045885	1	4.20612577605416e-13	1	1	0.999916050688483	0.999998155281467	0.981672992778278	0.900202560309334	0.762659653070516	0.0176571412018805	0.434255303782214	0.154931385623192	0.999578603301941	0.966458352071228	0.999999463471976	0.865087882586675	0.23612505500602	0.108269276729391	2.91540536073671e-05	0.0008577962659252
CIV	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
