name	freq
haiti	16
latest	8
presidential	8
allegations	6
barricades	6
burn	6
haitis	6
man	6
new	6
tire	6
candidates	5
capital	5
guatemala	5
votes	5
argentina	4
ballots	4
candidate	4
cemeteries	4
colombia	4
countrys	4
dead	4
election	4
haitian	4
haitians	4
hold	4
mark	4
news	4
offices	4
presidency	4
regional	4
voodoo	4
abuse	3
alleges	3
boys	3
checked	3
country	3
destroyed	3
discarded	3
founded	3
fraud	3
investigators	3
look	3
looking	3
name	3
officials	3
one	3
orphanage	3
prompting	3
sex	3
supporters	3
