name	freq
pope	27
reuters	16
francis	13
africa	11
african	11
central	8
nairobi	8
republic	8
vatican	8
message	7
peace	7
will	7
christianmuslim	6
first	6
violence	6
christians	5
dialogue	5
muslims	5
nation	5
people	5
reconciliation	5
trip	5
bangui	4
bridge	4
city	4
corruption	4
faultlines	4
gods	4
name	4
racked	4
said	4
travels	4
trial	4
years	4
address	3
catholic	3
coptic	3
deliver	3
fastgrowing	3
friday	3
jerusalem	3
religions	3
rights	3
seek	3
seen	3
sunday	3
two	3
wednesday	3
young	3
arising	2
