"","i","j","fij"
"10153","Calais","La Rochelle",577457.222605099
"10154","Saint-Omer","La Rochelle",569265.37303087
"10155","Ambert","La Rochelle",385715.962416473
"10156","Clermont-Ferrand","La Rochelle",330556.683945413
"10157","Accous","La Rochelle",356473.732433658
"10158","Bayonne","La Rochelle",297213.890397071
"10159","Pau","La Rochelle",324067.849656354
"10160","Vallée d'Aspe","La Rochelle",4602672.82182999
"10161","Prades","La Rochelle",485594.630979186
"10162","Perpignan","La Rochelle",501230.607977351
"10163","Lyon","La Rochelle",465497.338093218
"10164","Le Mans","La Rochelle",229517.017724468
"10165","Chambéry","La Rochelle",552465.657016244
"10166","Chalon-sur-Saône","La Rochelle",465902.761551624
"10167","Mâcon","La Rochelle",461361.494327716
"10168","Fontainebleau","La Rochelle",383458.397488901
"10169","Marne la Vallée","La Rochelle",395143.290424496
"10170","Melun","La Rochelle",390838.948984867
"10171","Fécamp","La Rochelle",415849.703663848
"10172","Le Havre","La Rochelle",382375.665577666
"10173","Rouen","La Rochelle",401499.161771169
"10174","Aubervilliers","La Rochelle",405414.476730547
"10175","Clichy","La Rochelle",400661.226333349
"10176","Montreuil","La Rochelle",525052.591058254
"10177","Noisy-le-Sec","La Rochelle",407053.578056931
"10178","Pantin","La Rochelle",404907.652865324
"10179","Saint-Denis","La Rochelle",405976.22771189
"10180","Saint-Ouen","La Rochelle",402823.212462702
"10181","Abbeville","La Rochelle",491667.956269206
"10182","Amiens","La Rochelle",488146.954988816
"10183","Albi","La Rochelle",359026.268879385
"10184","Gaillac","La Rochelle",347122.222834097
"10185","Moissac","La Rochelle",288012.172864547
"10186","Saint-Antonin-Noble-Val","La Rochelle",319133.017866184
"10187","Belfort","La Rochelle",631583.565000101
"10188","Créteil","La Rochelle",398266.148681104
"10189","Ivry-sur-seine","La Rochelle",397318.501293191
"10190","Villejuif","La Rochelle",394287.145141851
"10191","Bonneuil-sur-Marne","La Rochelle",399328.341605742
"10192","Vitry-sur-Seine","La Rochelle",395556.140650763
"10193","Cergy","La Rochelle",400993.765039832
"10194","Draguignan","La Rochelle",668155.13156594
"10195","Toulon","La Rochelle",654663.877247176
"10196","Avignon","La Rochelle",529197.543215652
"10197","La Roche-sur-Yon","La Rochelle",60595.1784149205
"10198","Les Sables d'Olonne","La Rochelle",61387.940187127
"10199","Poitiers","La Rochelle",123878.573637644
"10200","Plombières-les-Bains","La Rochelle",611008.437354213
"10201","Épinal","La Rochelle",617598.564228308
"10202","Auxerre","La Rochelle",403249.759298238
"10203","Sens","La Rochelle",404992.330264802
"10204","Tonnerre","La Rochelle",432534.185965845
"10205","Élancourt","La Rochelle",372244.663255661
"10206","La Verrière","La Rochelle",249617.882425455
"10207","Mantes la Jolie","La Rochelle",381133.648458293
"10208","Rambouillet","La Rochelle",356530.672800622
"10209","Saint-Quentin-en-Yvelines","La Rochelle",355160.539841593
"10210","Leipzig","La Rochelle",1147628.64969052
"10211","München","La Rochelle",987992.400943892
"10212","Berlin","La Rochelle",1269084.2592937
"10213","Bruxelles","La Rochelle",660723.425512118
"10214","Charleroi","La Rochelle",628855.82750725
"10215","Gent","La Rochelle",652103.514476165
"10216","Liège","La Rochelle",704223.926721881
"10217","Louvain-la-Neuve","La Rochelle",657943.047683103
"10218","Namur","La Rochelle",654183.076155549
"10219","Tournai","La Rochelle",597618.868353751
"10220","Rio de Janeiro","La Rochelle",11002890.804195
"10221","Montréal","La Rochelle",5425868.66990414
"10222","Trois-Rivières","La Rochelle",6697687.94064933
"10223","A Coruña","La Rochelle",651184.409482795
"10224","Alcalá de Guadaíra","La Rochelle",1057322.54697466
"10225","Avilés","La Rochelle",474864.795001134
"10226","Barcelone","La Rochelle",594689.248310282
"10227","Bilbao","La Rochelle",351332.935596371
"10228","Dos Hermanas","La Rochelle",1066018.59763473
"10229","Elche","La Rochelle",879847.687537535
"10230","Granada","La Rochelle",8974400.75545167
"10231","Huesca","La Rochelle",450759.219155065
"10232","La Rioja","La Rochelle",438401.36819197
"10233","Lugo","La Rochelle",616839.567571277
"10234","Madrid","La Rochelle",671308.400068837
"10235","Málaga","La Rochelle",1087191.88519469
"10236","Murcia","La Rochelle",909631.869787193
"10237","Salamanca","La Rochelle",682749.605525292
"10238","Segovia","La Rochelle",626884.012518706
"10239","Sevilla","La Rochelle",1056992.68196637
"10240","Tarragona","La Rochelle",593157.998836682
"10241","Valladolid","La Rochelle",577369.063333311
"10242","València","La Rochelle",747006.808702499
"10243","Santiago de Compostela","La Rochelle",690975.786602686
"10244","Vitoria-Gasteiz","La Rochelle",387356.776611899
"10245","Xixón","La Rochelle",459578.570811186
"10246","Zaragoza","La Rochelle",501404.169845572
"10247","San Francisco","La Rochelle",9138320.59401599
"10248","Athènes","La Rochelle",2243056.33322477
"10249","Messine","La Rochelle",1638233.81440388
"10250","Torino","La Rochelle",698919.72416437
"10251","Panamá","La Rochelle",9005622.54407457
"10252","Amsterdam","La Rochelle",819307.26583275
"10253","Lisbonne","La Rochelle",1057454.65493716
"10254","Bucarest","La Rochelle",2134007.79915753
"10255","Glasgow","La Rochelle",5944230.78349675
"10256","Liverpool","La Rochelle",817746.900392114
"10257","Londres","La Rochelle",599628.126868297
"10258","Manchester","La Rochelle",819133.33823144
"10259","Neuchâtel","La Rochelle",625457.744264828
"10260","Fribourg","La Rochelle",669007.382415006
"10261","Bourg-en-Bresse","Marennes",491750.162497897
"10262","Château-Thierry","Marennes",493668.784662328
"10263","Laon","Marennes",546520.743758488
"10264","Montluçon","Marennes",292784.9850181
"10265","Vichy","Marennes",352215.328819816
"10266","Digne-les-Bains","Marennes",609859.654572597
"10267","Manosque","Marennes",587460.959177614
"10268","Sisteron","Marennes",583990.764867752
"10269","Grasse","Marennes",679346.447871403
"10270","Nice","Marennes",703075.915409256
"10271","Aubenas","Marennes",451586.415466284
"10272","Ariège","Marennes",395098.94764632
"10273","Foix","Marennes",383986.713629476
"10274","La Bastide-de-Sérou","Marennes",371688.143517494
"10275","Pailhès","Marennes",432170.611260231
"10276","Troyes","Marennes",479864.959541026
"10277","Carcassonne","Marennes",399249.379551301
"10278","Castans","Marennes",391482.677868997
"10279","Narbonne","Marennes",438995.122777029
"10280","Lac de Jouarres","Marennes",5019084.70725888
"10281","Millau","Marennes",381335.60019744
"10282","Villefranche de Rouergue","Marennes",296426.630388759
"10283","Rodez","Marennes",332458.679875543
"10284","Saverne","Marennes",717347.510146271
"10285","Strasbourg","Marennes",737033.722564878
"10286","Aix-en-Provence","Marennes",578337.976992227
"10287","Arles","Marennes",512720.930778251
"10288","Aubagne","Marennes",599962.873677476
"10289","Istres","Marennes",546823.204665708
"10290","La Ciotat","Marennes",609106.351079765
"10291","Marseille","Marennes",585751.666068369
"10292","Martigues","Marennes",557565.067784467
"10293","Salon de Provence","Marennes",547655.59822349
"10294","Caen","Marennes",377631.890558575
"10295","Aurillac","Marennes",295097.821193837
"10296","Angoulême","Marennes",100201.723565609
"10297","Jonzac","Marennes",67190.7770191205
"10298","La Rochelle","Marennes",37693.1185527803
"10299","Marennes","Marennes",0
"10300","Saintes","Marennes",38183.1565266481
"10301","Bourges","Marennes",303339.278153858
"10302","Tulle","Marennes",232886.497696106
"10303","Guéret","Marennes",233811.052909646
"10304","Dijon","Marennes",499457.755416381
"10305","Guingamp","Marennes",341449.858793624
"10306","Lannion","Marennes",368985.456813698
"10307","Saint-Brieuc","Marennes",324268.91904823
"10308","Niort","Marennes",74791.6321274965
"10309","Bergerac","Marennes",164826.067696805
"10310","Nontron","Marennes",141550.366983959
"10311","Besançon","Marennes",568668.645079826
"10312","Montbéliard","Marennes",632596.617563466
"10313","Crest","Marennes",329597.926656694
"10314","Montélimar","Marennes",480869.915624043
"10315","Nyons","Marennes",516799.140565272
"10316","Valence","Marennes",479750.104318327
"10317","Evry","Marennes",411568.931529464
"10318","Pussay","Marennes",366277.357519551
"10319","Brest","Marennes",383455.655384726
"10320","Carhaix-Plouguer","Marennes",330654.47231069
"10321","Chateaulin","Marennes",347717.9331862
"10322","Concarneau","Marennes",313116.558040134
"10323","Morlaix","Marennes",369627.907804298
"10324","Quimper","Marennes",332077.911141896
"10325","Alès","Marennes",450571.604662156
"10326","Bagnols-sur-Cèze","Marennes",487800.823453937
"10327","Nîmes","Marennes",484996.335450539
"10328","Uzès","Marennes",480156.705679763
"10329","Auch","Marennes",276243.051933672
"10330","L'Isle Jourdain","Marennes",300243.612872919
"10331","Auros","Marennes",165544.180385652
"10332","Bazas","Marennes",169577.652264569
"10333","Bordeaux","Marennes",116418.345408584
"10334","Gans","Marennes",169475.845495876
"10335","Libourne","Marennes",121457.187697862
"10336","Langon","Marennes",156293.16598756
"10337","Sainte-Foy-la-Grande","Marennes",150244.277496923
"10338","Pointe-à-Pitre","Marennes",6662505.86312755
"10339","Guebwiller","Marennes",674477.834981343
"10340","Mulhouse","Marennes",678762.800727239
"10341","Cazères","Marennes",338870.782177738
"10342","Toulouse","Marennes",318555.189161486
"10343","Saint-Gaudens","Marennes",334833.410408628
"10344","Le Puy-en-Velay","Marennes",399763.247235909
"10345","Monistrol-sur-Loire","Marennes",416078.354612776
"10346","Tarbes","Marennes",302581.742833104
"10347","Annecy","Marennes",561748.583251951
"10348","Annemasse","Marennes",569464.047715278
"10349","Limoges","Marennes",184202.776007703
"10350","Briançon","Marennes",615341.576572624
"10351","Embrun","Marennes",612960.214172706
"10352","Gap","Marennes",581505.87543455
"10353","Veynes","Marennes",562775.079450883
"10354","Bagneux","Marennes",521256.360287111
"10355","Clamart","Marennes",417563.549698686
"10356","Malakoff","Marennes",420611.395881352
"10357","Brissac","Marennes",436997.320259978
"10358","Béziers","Marennes",440098.065466569
"10359","Ganges","Marennes",434048.853354672
"10360","Lodève","Marennes",420115.463350082
"10361","Montpellier","Marennes",464771.979470827
"10362","Saint Pons de Thomières","Marennes",401366.976461862
"10363","Lac de Jouarres","Marennes",5019084.70725888
"10364","Olonzac","Marennes",415055.442329383
"10365","Saint-Pons-de-Thomières","Marennes",401366.976461862
"10366","Sète","Marennes",466175.758199593
"10367","Fougères","Marennes",281416.802947818
"10368","Rennes","Marennes",258081.878283867
"10369","Saint-Aubin-du-Cormier","Marennes",271588.174642285
"10370","Saint-Malo","Marennes",321175.23753785
"10371","Châteauroux","Marennes",241827.306887335
"10372","Chinon","Marennes",181736.021662833
"10373","Tours","Marennes",221992.450684154
"10374","Bourgoin-Jallieu","Marennes",497820.023996273
"10375","Grenoble","Marennes",537844.797877114
"10376","La Côte-Saint-André","Marennes",444448.852130987
"10377","Lons le Saunier","Marennes",522138.070364919
"10378","Lons-le-Saunier","Marennes",522138.070364919
"10379","Saint-Denis de la Réunion","Marennes",11482661.897432
"10380","Saint-Leu","Marennes",11527793.6247211
"10381","Mont-de-Marsan","Marennes",219667.903351813
"10382","Montbrison","Marennes",403102.354952003
"10383","Roanne","Marennes",402214.152794255
"10384","Saint-Étienne","Marennes",430165.062842501
"10385","Blain","Marennes",190479.469666892
"10386","Châteaubriant","Marennes",211828.42586271
"10387","Nantes","Marennes",159019.841749038
"10388","Saint-Nazaire","Marennes",182183.16653073
"10389","Blois","Marennes",270730.453132216
"10390","Montargis","Marennes",379602.403556516
"10391","Orléans","Marennes",5582791.48021276
"10392","Figeac","Marennes",280848.325638011
"10393","Cahors","Marennes",251416.499873444
"10394","Agen","Marennes",225472.452400224
"10395","Villeneuve-sur-Lot","Marennes",212207.9118308
"10396","Florac","Marennes",405621.466090363
"10397","Angers","Marennes",188448.566359801
"10398","Saint-Lô","Marennes",366053.472527082
"10399","Châlons-en-Champagne","Marennes",539896.787426677
"10400","Reims","Marennes",543253.182451695
"10401","Fort-de-France","Marennes",6787709.42419151
"10402","Craon","Marennes",225480.119835691
"10403","Laval","Marennes",251216.087507343
"10404","Nancy","Marennes",636747.237466876
"10405","Lorient","Marennes",274684.287459043
"10406","Questembert","Marennes",228703.897855895
"10407","Vannes","Marennes",239903.926134626
"10408","Metz","Marennes",659464.543587031
"10409","Nevers","Marennes",352749.296074934
"10410","Lille","Marennes",618024.427263636
"10411","Valenciennes","Marennes",611000.826192462
"10412","Avrechy","Marennes",482527.044367076
"10413","Beauvais","Marennes",468270.693761979
"10414","Alençon","Marennes",303856.896229405
"10415","Paris (Belleville Ménilmontant)","Marennes",429318.598079193
"10416","Paris (Denfert-Rochereau)","Marennes",423796.422524439
"10417","Paris (Place des Fêtes)","Marennes",426578.827099119
"10418","Paris (Menilmontant-Sorbier)","Marennes",429318.598079193
"10419","Paris (République)","Marennes",5681284.37666974
"10420","Arras","Marennes",574895.349421437
"10421","Boulogne-sur-Mer","Marennes",581383.245647042
"10422","Béthune","Marennes",592151.210727255
"10423","Calais","Marennes",611327.517468073
"10424","Saint-Omer","Marennes",602142.5725255
"10425","Ambert","Marennes",378699.16524801
"10426","Clermont-Ferrand","Marennes",325468.876848422
"10427","Accous","Marennes",318808.912598432
"10428","Bayonne","Marennes",260205.668284238
"10429","Pau","Marennes",286619.320550138
"10430","Vallée d'Aspe","Marennes",4565805.09344499
"10431","Prades","Marennes",454076.506957464
"10432","Perpignan","Marennes",471319.630876682
"10433","Lyon","Marennes",461434.718462657
"10434","Le Mans","Marennes",262477.579133713
"10435","Chambéry","Marennes",547539.543696068
"10436","Chalon-sur-Saône","Marennes",471093.522938496
"10437","Mâcon","Marennes",462231.417286735
"10438","Fontainebleau","Marennes",407153.125196829
"10439","Marne la Vallée","Marennes",417170.323848979
"10440","Melun","Marennes",415485.405472458
"10441","Fécamp","Marennes",451342.051254712
"10442","Le Havre","Marennes",418195.824271145
"10443","Rouen","Marennes",434814.42876754
"10444","Aubervilliers","Marennes",432942.426135871
"10445","Clichy","Marennes",428400.113775891
"10446","Montreuil","Marennes",558485.843064654
"10447","Noisy-le-Sec","Marennes",434225.192721607
"10448","Pantin","Marennes",432286.774176824
"10449","Saint-Denis","Marennes",433679.953007963
"10450","Saint-Ouen","Marennes",430503.015386596
"10451","Abbeville","Marennes",524352.009036142
"10452","Amiens","Marennes",519225.001522155
"10453","Albi","Marennes",332153.045071549
"10454","Gaillac","Marennes",319026.287322235
"10455","Moissac","Marennes",257323.718044578
"10456","Saint-Antonin-Noble-Val","Marennes",292018.918992481
"10457","Belfort","Marennes",640977.335928737
"10458","Créteil","Marennes",424941.508664777
"10459","Ivry-sur-seine","Marennes",424360.295855822
"10460","Villejuif","Marennes",421338.090781485
"10461","Bonneuil-sur-Marne","Marennes",425834.998663862
"10462","Vitry-sur-Seine","Marennes",422465.36328501
"10463","Cergy","Marennes",430257.654582307
"10464","Draguignan","Marennes",651191.948552784
"10465","Toulon","Marennes",634606.541440487
"10466","Avignon","Marennes",511023.289320869
"10467","La Roche-sur-Yon","Marennes",97481.0839845322
"10468","Les Sables d'Olonne","Marennes",91391.4468712266
"10469","Poitiers","Marennes",139933.289883211
"10470","Plombières-les-Bains","Marennes",622894.712263238
"10471","Épinal","Marennes",630759.240488298
"10472","Auxerre","Marennes",419597.578759599
"10473","Sens","Marennes",425317.625891187
"10474","Tonnerre","Marennes",448316.342977325
"10475","Élancourt","Marennes",400666.580312293
"10476","La Verrière","Marennes",285372.843225439
"10477","Mantes la Jolie","Marennes",411278.002896451
"10478","Rambouillet","Marennes",384853.076554376
"10479","Saint-Quentin-en-Yvelines","Marennes",382719.465085444
"10480","Leipzig","Marennes",1166787.01046413
"10481","München","Marennes",996666.935478773
"10482","Berlin","Marennes",1290446.05391949
"10483","Bruxelles","Marennes",689552.239972393
"10484","Charleroi","Marennes",656298.142517177
"10485","Gent","Marennes",682634.168007118
"10486","Liège","Marennes",730124.355230313
"10487","Louvain-la-Neuve","Marennes",685777.754045429
"10488","Namur","Marennes",680912.933796171
"10489","Tournai","Marennes",627845.444807999
"10490","Rio de Janeiro","Marennes",10979740.8288317
"10491","Montréal","Marennes",5445245.43458208
"10492","Trois-Rivières","Marennes",6696597.78799442
"10493","A Coruña","Marennes",638925.151796296
"10494","Alcalá de Guadaíra","Marennes",1024381.8589487
"10495","Avilés","Marennes",456841.304175514
"10496","Barcelone","Marennes",560137.750439934
"10497","Bilbao","Marennes",319076.400734683
"10498","Dos Hermanas","Marennes",1033158.52912858
"10499","Elche","Marennes",842194.295994823
"10500","Granada","Marennes",8983189.07960734
"10501","Huesca","Marennes",413110.961661677
"10502","La Rioja","Marennes",403072.187053335
"10503","Lugo","Marennes",600661.960471094
"10504","Madrid","Marennes",637082.580862625
"10505","Málaga","Marennes",1052080.69267714
"10506","Murcia","Marennes",872092.018407982
"10507","Salamanca","Marennes",653929.504867855
"10508","Segovia","Marennes",594128.437608797
"10509","Sevilla","Marennes",1024317.40713899
"10510","Tarragona","Marennes",556800.270058379
"10511","Valladolid","Marennes",547455.012633176
"10512","València","Marennes",709313.692351155
"10513","Santiago de Compostela","Marennes",676575.686897108
"10514","Vitoria-Gasteiz","Marennes",353230.009596232
"10515","Xixón","Marennes",440562.801419743
"10516","Zaragoza","Marennes",463752.770352299
"10517","San Francisco","Marennes",9164995.03662501
"10518","Athènes","Marennes",2230576.70021098
"10519","Messine","Marennes",1618746.06576442
"10520","Torino","Marennes",692120.703528535
"10521","Panamá","Marennes",9011224.48510356
"10522","Amsterdam","Marennes",850274.317254969
"10523","Lisbonne","Marennes",1031896.24150791
"10524","Bucarest","Marennes",2134103.50883536
"10525","Glasgow","Marennes",5964047.65921071
"10526","Liverpool","Marennes",855375.551108388
"10527","Londres","Marennes",636544.153082561
"10528","Manchester","Marennes",856826.431250875
"10529","Neuchâtel","Marennes",630655.739300525
"10530","Fribourg","Marennes",684819.562181795
"10531","Bourg-en-Bresse","Saintes",456150.099431585
"10532","Château-Thierry","Saintes",476459.814604565
"10533","Laon","Saintes",531115.406076439
"10534","Montluçon","Saintes",258942.371076142
"10535","Vichy","Saintes",316662.337974862
"10536","Digne-les-Bains","Saintes",571717.311846387
"10537","Manosque","Saintes",549535.526309688
"10538","Sisteron","Saintes",545840.93935709
"10539","Grasse","Saintes",641296.697797095
"10540","Nice","Saintes",664963.622241151
"10541","Aubenas","Saintes",413430.204527297
"10542","Ariège","Saintes",367942.423357225
"10543","Foix","Saintes",356332.207363691
"10544","La Bastide-de-Sérou","Saintes",344770.34228583
"10545","Pailhès","Saintes",397374.612149422
"10546","Troyes","Saintes",456226.428338624
"10547","Carcassonne","Saintes",367483.750055875
"10548","Castans","Saintes",358509.789541564
"10549","Narbonne","Saintes",405433.101037806
"10550","Lac de Jouarres","Saintes",5056270.01115691
"10551","Millau","Saintes",344679.393542719
"10552","Villefranche de Rouergue","Saintes",260656.709754662
"10553","Rodez","Saintes",295734.342197223
"10554","Saverne","Saintes",689929.704798258
"10555","Strasbourg","Saintes",708612.076217739
"10556","Aix-en-Provence","Saintes",540851.938947565
"10557","Arles","Saintes",475508.533030181
"10558","Aubagne","Saintes",562724.172979258
"10559","Istres","Saintes",509628.842580939
"10560","La Ciotat","Saintes",572010.535577989
"10561","Marseille","Saintes",548634.799564585
"10562","Martigues","Saintes",520496.334225096
"10563","Salon de Provence","Saintes",510208.16270846
"10564","Caen","Saintes",382790.222781376
"10565","Aurillac","Saintes",257096.895006916
"10566","Angoulême","Saintes",62082.8625379562
"10567","Jonzac","Saintes",36373.9280140446
"10568","La Rochelle","Saintes",61485.4134148112
"10569","Marennes","Saintes",38183.1565266481
"10570","Saintes","Saintes",0
"10571","Bourges","Saintes",276065.902554886
"10572","Tulle","Saintes",194712.421750108
"10573","Guéret","Saintes",199436.388891346
"10574","Dijon","Saintes",468616.273992615
"10575","Guingamp","Saintes",366821.460967445
"10576","Lannion","Saintes",395108.655207618
"10577","Saint-Brieuc","Saintes",347686.212651404
"10578","Niort","Saintes",65871.0826744627
"10579","Bergerac","Saintes",131948.661360557
"10580","Nontron","Saintes",103369.414498355
"10581","Besançon","Saintes",536572.962081952
"10582","Montbéliard","Saintes",601011.842276499
"10583","Crest","Saintes",292365.22482006
"10584","Montélimar","Saintes",442705.379048074
"10585","Nyons","Saintes",478671.506971599
"10586","Valence","Saintes",441641.371744974
"10587","Evry","Saintes",396137.183317867
"10588","Pussay","Saintes",351399.665581893
"10589","Brest","Saintes",414879.014177234
"10590","Carhaix-Plouguer","Saintes",359376.592546496
"10591","Chateaulin","Saintes",378796.92169797
"10592","Concarneau","Saintes",345196.294915879
"10593","Morlaix","Saintes",397997.012969819
"10594","Quimper","Saintes",364138.877346749
"10595","Alès","Saintes",412984.805619265
"10596","Bagnols-sur-Cèze","Saintes",449927.586284378
"10597","Nîmes","Saintes",447704.707897803
"10598","Uzès","Saintes",442555.012509195
"10599","Auch","Saintes",251890.507962831
"10600","L'Isle Jourdain","Saintes",272491.117641672
"10601","Auros","Saintes",143639.140483803
"10602","Bazas","Saintes",149156.874365461
"10603","Bordeaux","Saintes",100123.905376689
"10604","Gans","Saintes",147888.3222767
"10605","Libourne","Saintes",96903.6502710007
"10606","Langon","Saintes",135488.615422976
"10607","Sainte-Foy-la-Grande","Saintes",119942.78578996
"10608","Pointe-à-Pitre","Saintes",6698475.38696483
"10609","Guebwiller","Saintes",644065.341995543
"10610","Mulhouse","Saintes",647671.498953174
"10611","Cazères","Saintes",313096.186347947
"10612","Toulouse","Saintes",288789.424820906
"10613","Saint-Gaudens","Saintes",311891.944400734
"10614","Le Puy-en-Velay","Saintes",361619.974782166
"10615","Monistrol-sur-Loire","Saintes",378201.302806742
"10616","Tarbes","Saintes",284385.064015137
"10617","Annecy","Saintes",525270.598478621
"10618","Annemasse","Saintes",533726.509026652
"10619","Limoges","Saintes",147538.401317196
"10620","Briançon","Saintes",577409.722837016
"10621","Embrun","Saintes",574822.881822348
"10622","Gap","Saintes",543343.048754653
"10623","Veynes","Saintes",524597.355941272
"10624","Bagneux","Saintes",506618.139585388
"10625","Clamart","Saintes",404015.671234816
"10626","Malakoff","Saintes",406986.139996939
"10627","Brissac","Saintes",400185.539550167
"10628","Béziers","Saintes",405530.619453634
"10629","Ganges","Saintes",397105.086019241
"10630","Lodève","Saintes",384170.541178907
"10631","Montpellier","Saintes",428391.585544248
"10632","Saint Pons de Thomières","Saintes",367324.946015797
"10633","Lac de Jouarres","Saintes",5056270.01115691
"10634","Olonzac","Saintes",381846.555369234
"10635","Saint-Pons-de-Thomières","Saintes",367324.946015797
"10636","Sète","Saintes",430577.416497249
"10637","Fougères","Saintes",293331.642995894
"10638","Rennes","Saintes",275022.846351408
"10639","Saint-Aubin-du-Cormier","Saintes",285535.351445169
"10640","Saint-Malo","Saintes",339149.967885774
"10641","Châteauroux","Saintes",214465.012741478
"10642","Chinon","Saintes",171733.108547539
"10643","Tours","Saintes",209046.63059807
"10644","Bourgoin-Jallieu","Saintes",460606.504676867
"10645","Grenoble","Saintes",500062.996113119
"10646","La Côte-Saint-André","Saintes",407246.169030536
"10647","Lons le Saunier","Saintes",488096.132007435
"10648","Lons-le-Saunier","Saintes",488096.132007435
"10649","Saint-Denis de la Réunion","Saintes",11445842.4016873
"10650","Saint-Leu","Saintes",11491018.6100373
"10651","Mont-de-Marsan","Saintes",205848.128378498
"10652","Montbrison","Saintes",365780.591829069
"10653","Roanne","Saintes",366180.031331044
"10654","Saint-Étienne","Saintes",392551.45835209
"10655","Blain","Saintes",211191.394039451
"10656","Châteaubriant","Saintes",226876.56542029
"10657","Nantes","Saintes",178826.808286669
"10658","Saint-Nazaire","Saintes",208971.50780114
"10659","Blois","Saintes",254069.332131106
"10660","Montargis","Saintes",358536.122449959
"10661","Orléans","Saintes",5619920.40958074
"10662","Figeac","Saintes",244046.028851492
"10663","Cahors","Saintes",216860.68413117
"10664","Agen","Saintes",197353.920024528
"10665","Villeneuve-sur-Lot","Saintes",181823.577933824
"10666","Florac","Saintes",368001.277833082
"10667","Angers","Saintes",192442.779704937
"10668","Saint-Lô","Saintes",376426.742261971
"10669","Châlons-en-Champagne","Saintes",519079.386480892
"10670","Reims","Saintes",524966.887109007
"10671","Fort-de-France","Saintes",6823337.39405839
"10672","Craon","Saintes",235221.120639023
"10673","Laval","Saintes",258912.935564225
"10674","Nancy","Saintes",610733.674748603
"10675","Lorient","Saintes",305351.470248805
"10676","Questembert","Saintes",254607.014954566
"10677","Vannes","Saintes",267934.904258752
"10678","Metz","Saintes",635315.424591352
"10679","Nevers","Saintes",322776.032563043
"10680","Lille","Saintes",608924.924497626
"10681","Valenciennes","Saintes",599278.534985361
"10682","Avrechy","Saintes",471489.013837746
"10683","Beauvais","Saintes",458854.231035756
"10684","Alençon","Saintes",303679.947738098
"10685","Paris (Belleville Ménilmontant)","Saintes",415517.796288738
"10686","Paris (Denfert-Rochereau)","Saintes",410088.020198338
"10687","Paris (Place des Fêtes)","Saintes",412987.229378189
"10688","Paris (Menilmontant-Sorbier)","Saintes",415517.796288738
"10689","Paris (République)","Saintes",5657656.64854985
"10690","Arras","Saintes",565751.457349724
"10691","Boulogne-sur-Mer","Saintes",578495.693751767
"10692","Béthune","Saintes",584312.979991544
"10693","Calais","Saintes",607866.347154246
"10694","Saint-Omer","Saintes",596608.655079461
"10695","Ambert","Saintes",341201.949371244
"10696","Clermont-Ferrand","Saintes",288527.241314022
"10697","Accous","Saintes",307456.393676811
"10698","Bayonne","Saintes",258643.127448031
"10699","Pau","Saintes",272558.864909362
"10700","Vallée d'Aspe","Saintes",4561842.86558394
"10701","Prades","Saintes",424290.956174041
"10702","Perpignan","Saintes",439745.196030273
"10703","Lyon","Saintes",424555.701813681
"10704","Le Mans","Saintes",259461.082283152
"10705","Chambéry","Saintes",510359.271061887
"10706","Chalon-sur-Saône","Saintes",437899.187544661
"10707","Mâcon","Saintes",427045.52009529
"10708","Fontainebleau","Saintes",389046.029260995
"10709","Marne la Vallée","Saintes",397166.414885414
"10710","Melun","Saintes",398429.094167614
"10711","Fécamp","Saintes",452557.388075679
"10712","Le Havre","Saintes",420558.811879019
"10713","Rouen","Saintes",430863.477146528
"10714","Aubervilliers","Saintes",419435.59109752
"10715","Clichy","Saintes",415210.401771469
"10716","Montreuil","Saintes",554236.420867857
"10717","Noisy-le-Sec","Saintes",420229.382733067
"10718","Pantin","Saintes",418581.859916479
"10719","Saint-Denis","Saintes",420409.362646986
"10720","Saint-Ouen","Saintes",417218.95437442
"10721","Abbeville","Saintes",518703.027072442
"10722","Amiens","Saintes",510669.028456461
"10723","Albi","Saintes",297979.34232575
"10724","Gaillac","Saintes",285780.167273045
"10725","Moissac","Saintes",226625.702169398
"10726","Saint-Antonin-Noble-Val","Saintes",257992.568442358
"10727","Belfort","Saintes",609823.943997712
"10728","Créteil","Saintes",410347.355988892
"10729","Ivry-sur-seine","Saintes",410252.386143416
"10730","Villejuif","Saintes",407261.632993249
"10731","Bonneuil-sur-Marne","Saintes",411016.029796459
"10732","Vitry-sur-Seine","Saintes",408193.879484515
"10733","Cergy","Saintes",419251.259852754
"10734","Draguignan","Saintes",613312.631158842
"10735","Toulon","Saintes",597380.010391345
"10736","Avignon","Saintes",473318.560420575
"10737","La Roche-sur-Yon","Saintes",120031.629833602
"10738","Les Sables d'Olonne","Saintes",122333.869620201
"10739","Poitiers","Saintes",119448.707249856
"10740","Plombières-les-Bains","Saintes",593397.638817505
"10741","Épinal","Saintes",602146.891914482
"10742","Auxerre","Saintes",394186.250365948
"10743","Sens","Saintes",403521.755878967
"10744","Tonnerre","Saintes",422289.419158108
"10745","Élancourt","Saintes",388621.532581157
"10746","La Verrière","Saintes",288602.437604669
"10747","Mantes la Jolie","Saintes",401755.569539329
"10748","Rambouillet","Saintes",372783.993353014
"10749","Saint-Quentin-en-Yvelines","Saintes",369602.478306296
"10750","Leipzig","Saintes",1142412.62180094
"10751","München","Saintes",964725.472170656
"10752","Berlin","Saintes",1268089.53024268
"10753","Bruxelles","Saintes",676914.37194026
"10754","Charleroi","Saintes",641790.542087311
