"","i","j","fij"
"54","Montélimar","Bourg-en-Bresse",186668.214010014
"55","Nyons","Bourg-en-Bresse",205562.438664473
"56","Valence","Bourg-en-Bresse",143616.876560779
"57","Evry","Bourg-en-Bresse",341714.532009689
"58","Pussay","Bourg-en-Bresse",341262.423367559
"59","Brest","Bourg-en-Bresse",772368.74077432
"60","Carhaix-Plouguer","Bourg-en-Bresse",703628.150671148
"61","Chateaulin","Bourg-en-Bresse",738616.888829255
"62","Concarneau","Bourg-en-Bresse",718463.560760986
"63","Morlaix","Bourg-en-Bresse",732043.245809654
"64","Quimper","Bourg-en-Bresse",734390.79735977
"65","Alès","Bourg-en-Bresse",247734.062075407
"66","Bagnols-sur-Cèze","Bourg-en-Bresse",231948.483076225
"67","Nîmes","Bourg-en-Bresse",271662.89828249
"68","Uzès","Bourg-en-Bresse",251667.883223817
"69","Auch","Bourg-en-Bresse",463378.732377936
"70","L'Isle Jourdain","Bourg-en-Bresse",435511.341451925
"71","Auros","Bourg-en-Bresse",461394.668245906
"72","Bazas","Bourg-en-Bresse",469227.933204581
"73","Bordeaux","Bourg-en-Bresse",477679.021484774
"74","Gans","Bourg-en-Bresse",463381.117464064
"75","Libourne","Bourg-en-Bresse",449923.475692394
"76","Langon","Bourg-en-Bresse",465713.587590046
"77","Sainte-Foy-la-Grande","Bourg-en-Bresse",419302.729854749
"78","Pointe-à-Pitre","Bourg-en-Bresse",7154220.26187349
"79","Guebwiller","Bourg-en-Bresse",241999.273856636
"80","Mulhouse","Bourg-en-Bresse",235079.860028373
"81","Cazères","Bourg-en-Bresse",467327.307701419
"82","Toulouse","Bourg-en-Bresse",415264.282998672
"83","Saint-Gaudens","Bourg-en-Bresse",495550.852348113
"84","Le Puy-en-Velay","Bourg-en-Bresse",165718.878977353
"85","Monistrol-sur-Loire","Bourg-en-Bresse",130233.84309364
"86","Tarbes","Bourg-en-Bresse",524396.401909201
"87","Annecy","Bourg-en-Bresse",78088.5872802744
"88","Annemasse","Bourg-en-Bresse",77823.011021938
"89","Limoges","Bourg-en-Bresse",309110.207199356
"90","Briançon","Bourg-en-Bresse",182393.109503026
"91","Embrun","Bourg-en-Bresse",207594.239137665
"92","Gap","Bourg-en-Bresse",194498.473520611
"93","Veynes","Bourg-en-Bresse",191335.284423372
"94","Bagneux","Bourg-en-Bresse",389665.305067515
"95","Clamart","Bourg-en-Bresse",364445.209671416
"96","Malakoff","Bourg-en-Bresse",364365.514886752
"97","Brissac","Bourg-en-Bresse",284872.194098253
"98","Béziers","Bourg-en-Bresse",355579.987955651
"99","Ganges","Bourg-en-Bresse",278985.835952821
"100","Lodève","Bourg-en-Bresse",313195.423254701
"101","Montpellier","Bourg-en-Bresse",307135.323054369
"102","Saint Pons de Thomières","Bourg-en-Bresse",359070.367477285
"103","Lac de Jouarres","Bourg-en-Bresse",5435694.24776566
"104","Olonzac","Bourg-en-Bresse",379806.564393226
"105","Saint-Pons-de-Thomières","Bourg-en-Bresse",359070.367477285
"106","Sète","Bourg-en-Bresse",334093.203938328
"107","Fougères","Bourg-en-Bresse",541108.64274816
"108","Rennes","Bourg-en-Bresse",564148.603022436
"109","Saint-Aubin-du-Cormier","Bourg-en-Bresse",550631.662136825
"110","Saint-Malo","Bourg-en-Bresse",609164.276348992
"111","Châteauroux","Bourg-en-Bresse",278683.725813382
"112","Chinon","Bourg-en-Bresse",395591.352770953
"113","Tours","Bourg-en-Bresse",370095.003360398
"114","Bourgoin-Jallieu","Bourg-en-Bresse",68763.6872444959
"115","Grenoble","Bourg-en-Bresse",119948.427207202
"116","La Côte-Saint-André","Bourg-en-Bresse",80111.6540890406
